id,sex,weight,height,bmi
B25396,Male,70.31,1.78,22.24
B25408,Male,81.65,1.75,26.58
B25438,Male,104.33,1.85,30.34
B25455,Male,65.77,1.8,20.22
B25478,Male,92.53,1.78,29.27
B25484,Male,97.52,1.75,31.75
B25507,Male,68.04,1.65,24.96
B25508,Male,92.99,1.8,28.59
B25517,Male,74.84,1.88,21.18
B25521,Male,84.82,1.83,25.36
B25540,Male,113.4,1.6,44.29
B25569,Male,94.8,1.7,32.73
B25592,Male,104.33,1.88,29.53
B25594,Male,81.65,1.8,25.1
B25601,Male,90.72,1.78,28.7
B25607,Male,74.84,1.8,23.01
B25627,Male,79.38,1.78,25.11
B25629,Male,119.75,1.83,35.8
B25653,Male,77.11,1.75,25.1
B25656,Male,84.82,1.75,27.61
B25657,Male,88.9,1.68,31.63
B25658,Male,109.77,1.85,31.93
B25661,Male,117.93,1.9,32.5
B25712,Male,88.9,1.85,25.86
B25718,Male,77.11,1.73,25.85
B25731,Male,74.84,1.73,25.09
B25737,Male,79.38,1.88,22.47
B25741,Male,127.01,1.85,36.94
B25754,Male,103.42,1.83,30.92
B25761,Male,74.39,1.73,24.94
B25764,Male,84.82,1.65,31.12
B25782,Male,111.13,1.73,37.25
B25784,Male,83.91,1.7,28.97
B25792,Male,80.74,1.8,24.83
B25803,Male,99.79,1.75,32.49
B25806,Male,102.97,1.83,30.79
B25807,Male,108.86,1.85,31.66
B25816,Male,105.23,1.88,29.79
B25820,Male,81.65,1.7,28.19
B25833,Male,88.45,1.83,26.45
B25834,Male,81.65,1.73,27.37
B25850,Male,77.11,1.78,24.39
B25851,Male,95.71,1.88,27.09
B25876,Male,79.38,1.65,29.12
B25879,Male,84.82,1.73,28.43
B25882,Male,120.66,1.98,30.74
B25889,Male,136.08,1.8,41.84
B25912,Male,88.45,1.78,27.98
B25918,Male,99.79,1.83,29.84
B25921,Male,95.25,1.78,30.13
B25933,Male,77.11,1.78,24.39
B25940,Male,95.25,1.88,26.96
B25947,Male,90.72,1.7,31.32
B25948,Male,79.38,1.78,25.11
B25957,Male,78.93,1.68,28.08
B25970,Male,110.68,1.85,32.19
B25975,Male,91.63,1.8,28.17
B25995,Male,81.65,1.83,24.41
B25996,Male,89.36,1.85,25.99
B26006,Male,81.65,1.73,27.37
B26012,Male,122.92,1.83,36.75
B26022,Male,101.15,1.78,32.0
B26026,Male,103.87,1.7,35.87
B26037,Male,106.59,1.78,33.72
B26052,Male,115.67,1.98,29.47
B26069,Male,84.82,1.78,26.83
B26093,Male,79.38,1.83,23.73
B26114,Male,90.72,1.73,30.41
B26125,Male,86.18,1.65,31.62
B26134,Male,80.74,1.75,26.29
B26135,Male,74.84,1.9,20.62
B26160,Male,79.38,1.78,25.11
B26167,Male,98.43,1.75,32.04
B26175,Male,88.45,1.6,34.54
B26176,Male,99.79,1.7,34.46
B26177,Male,81.65,1.7,28.19
B26191,Male,68.04,1.85,19.79
B26195,Male,122.47,1.78,38.74
B26225,Male,81.65,1.75,26.58
B26236,Male,68.49,1.68,24.37
B26246,Male,97.52,1.83,29.16
B26275,Male,72.57,1.73,24.33
B26287,Male,86.18,1.75,28.06
B26302,Male,106.59,1.83,31.87
B26305,Male,90.72,1.83,27.12
B26360,Male,88.0,1.78,27.84
B26364,Male,140.61,1.85,40.9
B26368,Male,77.11,1.75,25.1
B26372,Male,130.63,1.78,41.32
B26378,Male,90.72,1.8,27.89
B26381,Male,72.57,1.8,22.32
B26389,Male,81.65,1.83,24.41
B26410,Male,104.33,1.85,30.34
B26423,Male,92.99,1.73,31.17
B26435,Male,72.12,1.8,22.18
B26438,Male,81.65,1.73,27.37
B26448,Male,81.19,1.8,24.97
B26454,Male,72.57,1.75,23.63
B26459,Male,78.93,1.9,21.75
B26460,Male,77.11,1.83,23.06
B26465,Male,104.33,1.83,31.19
B26467,Male,97.52,1.83,29.16
B26474,Male,131.54,1.85,38.26
B26484,Male,88.9,1.83,26.58
B26490,Male,89.36,1.75,29.09
B26505,Male,77.11,1.8,23.71
B26529,Male,120.2,1.73,40.29
B26541,Male,127.01,1.83,37.97
B26550,Male,90.72,1.78,28.7
B26556,Male,92.53,1.88,26.19
B26564,Male,86.18,1.73,28.89
B26565,Male,129.27,1.75,42.09
B26579,Male,68.04,1.63,25.75
B26591,Male,74.84,1.73,25.09
B26598,Male,81.65,1.78,25.83
B26618,Male,92.99,1.88,26.32
B26621,Male,73.94,1.75,24.07
B26624,Male,83.01,1.7,28.66
B26631,Male,79.38,1.7,27.41
B26659,Male,81.65,1.93,21.91
B26685,Male,108.86,1.83,32.55
B26715,Male,83.46,1.7,28.82
B26718,Male,72.57,1.73,24.33
B26720,Male,90.72,1.7,31.32
B26722,Male,83.91,1.83,25.09
B26730,Male,73.48,1.73,24.63
B26751,Male,95.25,1.78,30.13
B26754,Male,97.98,1.68,34.86
B26760,Male,124.74,1.85,36.28
B26775,Male,95.25,1.98,24.27
B26780,Male,78.47,1.7,27.1
B26786,Male,74.84,1.78,23.67
B26835,Male,80.74,1.85,23.48
B26836,Male,85.28,1.78,26.97
B26837,Male,77.11,1.7,26.63
B26884,Male,81.65,1.73,27.37
B26946,Male,79.38,1.68,28.25
B26960,Male,65.77,1.8,20.22
B26966,Male,84.37,1.9,23.25
B26973,Male,117.93,1.93,31.65
B26989,Male,77.11,1.88,21.83
B26990,Male,105.69,1.88,29.92
B26998,Male,84.37,1.75,27.47
B27004,Male,86.18,1.83,25.77
B27041,Male,108.86,1.85,31.66
B27048,Male,52.16,1.7,18.01
B27068,Male,95.25,1.75,31.01
B27084,Male,92.99,1.8,28.59
B27096,Male,79.38,1.83,23.73
B27097,Male,80.29,1.73,26.91
B27102,Male,83.91,1.83,25.09
B27110,Male,82.1,1.6,32.06
B27143,Male,97.52,1.73,32.69
B27159,Male,106.59,1.8,32.78
B27180,Male,104.33,1.78,33.0
B27189,Male,104.33,1.8,32.08
B27215,Male,66.22,1.73,22.2
B27221,Male,120.2,1.75,39.13
B27252,Male,73.48,1.7,25.37
B27254,Male,86.18,1.7,29.76
B27258,Male,81.65,1.78,25.83
B27275,Male,83.91,1.9,23.12
B27281,Male,82.55,1.68,29.38
B27286,Male,95.25,1.73,31.93
B27294,Male,102.06,1.83,30.52
B27295,Male,104.33,1.78,33.0
B27297,Male,85.73,1.8,26.36
B27340,Male,97.52,1.8,29.99
B27346,Male,172.36,1.88,48.79
B27347,Male,74.84,1.73,25.09
B27348,Male,79.38,1.8,24.41
B27352,Male,88.45,1.7,30.54
B27353,Male,97.52,1.85,28.37
B27363,Male,107.95,1.75,35.15
B27379,Male,68.04,1.73,22.81
B27382,Male,72.57,1.8,22.32
B27387,Male,90.72,1.73,30.41
B27409,Male,102.06,1.88,28.89
B27418,Male,99.79,1.68,35.51
B27424,Male,90.72,1.65,33.28
B27429,Male,92.99,1.7,32.11
B27431,Male,77.11,1.83,23.06
B27457,Male,98.43,1.83,29.43
B27458,Male,94.8,1.8,29.15
B27460,Male,72.57,1.83,21.7
B27462,Male,97.52,1.78,30.85
B27502,Male,77.11,1.63,29.18
B27518,Male,99.34,1.78,31.42
B27541,Male,90.72,1.75,29.53
B27556,Male,90.72,1.68,32.28
B27560,Male,78.02,1.78,24.68
B27576,Male,57.15,1.63,21.63
B27580,Male,67.13,1.73,22.5
B27599,Male,71.67,1.73,24.02
B27600,Male,117.93,1.8,36.26
B27617,Male,58.97,1.65,21.63
B27618,Male,90.72,1.8,27.89
B27619,Male,76.2,1.75,24.81
B27630,Male,92.08,1.75,29.98
B27632,Male,118.39,1.83,35.4
B27648,Male,97.98,1.78,30.99
B27667,Male,90.72,1.7,31.32
B27670,Male,95.25,1.8,29.29
B27681,Male,79.38,1.8,24.41
B27684,Male,102.06,1.8,31.38
B27692,Male,62.14,1.73,20.83
B27697,Male,71.67,1.7,24.75
B27706,Male,87.54,1.83,26.18
B27707,Male,86.18,1.8,26.5
B27717,Male,85.28,1.73,28.58
B27737,Male,83.91,1.75,27.32
B27759,Male,83.91,1.88,23.75
B27763,Male,97.07,1.83,29.02
B27775,Male,97.52,1.8,29.99
B27820,Male,68.49,1.68,24.37
B27840,Male,90.72,1.75,29.53
B27852,Male,117.93,1.75,38.39
B27879,Male,72.57,1.8,22.32
B27900,Male,93.89,1.78,29.7
B27910,Male,99.79,1.83,29.84
B27935,Male,116.57,1.75,37.95
B27938,Male,90.72,1.83,27.12
B27940,Male,94.8,1.75,30.86
B27958,Male,78.02,1.63,29.52
B27968,Male,74.84,1.63,28.32
B27970,Male,65.77,1.75,21.41
B27977,Male,97.52,1.8,29.99
B27992,Male,73.48,1.83,21.97
B28009,Male,74.84,1.73,25.09
B28021,Male,88.45,1.8,27.2
B28046,Male,95.25,1.78,30.13
B28051,Male,87.54,1.83,26.18
B28066,Male,110.68,1.8,34.03
B28075,Male,83.01,1.93,22.28
B28094,Male,98.43,1.73,32.99
B28113,Male,68.04,1.83,20.34
B28115,Male,77.11,1.78,24.39
B28116,Male,99.79,1.83,29.84
B28119,Male,68.04,1.73,22.81
B28144,Male,86.18,1.68,30.67
B28145,Male,81.65,1.75,26.58
B28153,Male,99.79,1.83,29.84
B28155,Male,125.64,1.78,39.74
B28162,Male,90.26,1.78,28.55
B28181,Male,77.11,1.68,27.44
B28207,Male,111.58,1.73,37.4
B28245,Male,77.11,1.75,25.1
B28247,Male,89.81,1.8,27.62
B28263,Male,94.35,1.83,28.21
B28267,Male,92.99,1.68,33.09
B28311,Male,68.04,1.7,23.49
B28332,Male,74.84,1.7,25.84
B28355,Male,104.33,1.7,36.02
B28357,Male,122.92,1.78,38.88
B28363,Male,80.29,1.9,22.12
B28369,Male,80.74,1.73,27.06
B28394,Male,102.06,1.75,33.23
B28404,Male,66.22,1.88,18.75
B28418,Male,105.23,1.75,34.26
B28452,Male,80.74,1.7,27.88
B28468,Male,63.05,1.73,21.13
B28490,Male,83.91,1.68,29.86
B28492,Male,94.35,1.8,29.01
B28507,Male,116.57,1.88,33.0
B28537,Male,88.45,1.93,23.74
B28553,Male,72.12,1.68,25.66
B28561,Male,103.42,1.93,27.75
B28564,Male,83.91,1.75,27.32
B28565,Male,90.72,1.8,27.89
B28569,Male,94.35,1.63,35.7
B28586,Male,90.72,1.9,25.0
B28604,Male,83.91,1.73,28.13
B28615,Male,80.74,1.8,24.83
B28620,Male,80.74,1.75,26.29
B28626,Male,94.8,1.78,29.99
B28632,Male,78.02,1.65,28.62
B28660,Male,149.69,1.9,41.25
B28664,Male,72.57,1.78,22.96
B28670,Male,84.82,1.78,26.83
B28676,Male,95.25,1.68,33.89
B28687,Male,86.18,1.73,28.89
B28705,Male,81.65,1.73,27.37
B28737,Male,102.06,1.73,34.21
B28739,Male,95.25,1.78,30.13
B28763,Male,77.11,1.8,23.71
B28766,Male,81.65,1.75,26.58
B28789,Male,98.88,1.8,30.4
B28792,Male,93.89,1.73,31.47
B28793,Male,108.86,1.9,30.0
B28794,Male,78.47,1.83,23.46
B28795,Male,120.2,1.83,35.94
B28815,Male,115.21,1.75,37.51
B28818,Male,131.54,1.96,34.39
B28825,Male,83.91,1.88,23.75
B28834,Male,70.31,1.75,22.89
B28841,Male,83.91,1.83,25.09
B28864,Male,86.18,1.85,25.07
B28865,Male,102.97,1.75,33.52
B28870,Male,68.04,1.68,24.21
B28873,Male,92.53,1.93,24.83
B28893,Male,71.67,1.78,22.67
B28899,Male,87.54,1.7,30.23
B28902,Male,95.25,1.83,28.48
B28910,Male,74.84,1.73,25.09
B28911,Male,95.25,1.75,31.01
B28917,Male,90.72,1.88,25.68
B28929,Male,87.09,1.8,26.78
B28934,Male,95.25,1.8,29.29
B28975,Male,72.57,1.7,25.06
B28977,Male,72.57,1.7,25.06
B28981,Male,73.48,1.73,24.63
B28994,Male,88.0,1.83,26.31
B29000,Male,92.99,1.75,30.27
B29009,Male,92.99,1.83,27.8
B29020,Male,76.2,1.7,26.31
B29030,Male,90.72,1.73,30.41
B29047,Male,91.63,1.73,30.71
B29053,Male,,,
B29056,Male,94.35,1.8,29.01
B29058,Male,92.99,1.8,28.59
B29085,Male,71.67,1.78,22.67
B29097,Male,88.9,1.83,26.58
B29098,Male,79.38,1.8,24.41
B29108,Male,113.4,1.75,36.92
B29111,Male,73.03,1.88,20.67
B29117,Male,68.95,1.9,19.0
B29118,Male,65.77,1.83,19.67
B29127,Male,86.18,1.75,28.06
B29137,Male,97.07,1.7,33.52
B29147,Male,86.64,1.8,26.64
B29148,Male,90.72,1.7,31.32
B29157,Male,107.95,1.93,28.97
B29159,Male,90.72,1.68,32.28
B29187,Male,81.65,1.7,28.19
B29188,Male,97.52,1.93,26.17
B29192,Male,72.57,1.78,22.96
B29195,Male,86.18,1.75,28.06
B29243,Male,80.29,1.78,25.4
B29254,Male,86.18,1.73,28.89
B29259,Male,93.89,1.8,28.87
B29270,Male,78.02,1.7,26.94
B29274,Male,101.6,1.88,28.76
B29276,Male,77.11,1.73,25.85
B29280,Male,72.12,1.68,25.66
B29296,Male,76.66,1.75,24.96
B29300,Male,109.32,1.73,36.64
B29312,Male,65.77,1.73,22.05
B29320,Male,82.55,1.73,27.67
B29379,Male,86.64,1.75,28.21
B29390,Male,129.27,1.8,39.75
B29392,Male,81.19,1.68,28.89
B29423,Male,102.06,1.75,33.23
B29424,Male,99.79,1.88,28.25
B29436,Male,79.83,1.83,23.87
B29451,Male,92.99,1.8,28.59
B29458,Male,61.23,1.65,22.46
B29459,Male,97.07,1.73,32.54
B29460,Male,79.83,1.7,27.57
B29463,Male,88.45,1.75,28.8
B29466,Male,104.33,1.85,30.34
B29482,Male,113.4,1.83,33.91
B29486,Male,86.18,1.83,25.77
B29488,Male,92.99,1.8,28.59
B29489,Male,71.67,1.63,27.12
B29519,Male,89.81,1.75,29.24
B29548,Male,56.7,1.75,18.46
B29550,Male,81.19,1.75,26.43
B29551,Male,53.98,1.65,19.8
B29555,Male,92.99,1.73,31.17
B29576,Male,72.57,1.85,21.11
B29580,Male,72.57,1.65,26.63
B29607,Male,108.86,1.85,31.66
B29611,Male,69.4,1.75,22.59
B29614,Male,78.93,1.73,26.46
B29627,Male,124.74,1.9,34.37
B29633,Male,108.86,1.8,33.47
B29644,Male,111.58,1.75,36.33
B29646,Male,73.03,1.75,23.78
B29648,Male,107.05,1.8,32.91
B29682,Male,111.13,1.83,33.23
B29706,Male,89.81,1.78,28.41
B29708,Male,79.38,1.8,24.41
B29710,Male,122.47,1.6,47.83
B29718,Male,71.21,1.78,22.53
B29745,Male,97.07,1.73,32.54
B29747,Male,117.93,1.83,35.26
B29764,Male,105.23,1.73,35.28
B29765,Male,104.33,1.75,33.96
B29766,Male,87.09,1.73,29.19
B29803,Male,78.02,1.83,23.33
B29833,Male,78.02,1.78,24.68
B29839,Male,99.79,1.7,34.46
B29846,Male,140.61,1.83,42.04
B29851,Male,136.98,1.78,43.33
B29864,Male,74.84,1.8,23.01
B29879,Male,104.78,1.8,32.22
B29880,Male,82.55,1.75,26.88
B29892,Male,77.11,1.73,25.85
B29896,Male,81.65,1.78,25.83
B29901,Male,86.18,1.73,28.89
B29923,Male,74.39,1.68,26.47
B29930,Male,71.67,1.88,20.29
B29934,Male,132.45,1.8,40.73
B29954,Male,71.67,1.78,22.67
B29992,Male,102.06,1.8,31.38
B29993,Male,86.18,1.78,27.26
B30014,Male,83.91,1.75,27.32
B30028,Male,89.81,1.75,29.24
B30035,Male,67.59,1.78,21.38
B30036,Male,86.18,1.83,25.77
B30039,Male,72.57,1.7,25.06
B30106,Male,81.65,1.8,25.1
B30109,Male,107.95,1.78,34.15
B30114,Male,104.33,1.83,31.19
B30117,Male,130.18,1.9,35.87
B30147,Male,92.99,1.8,28.59
B30151,Male,99.79,1.68,35.51
B30158,Male,81.65,1.75,26.58
B30171,Male,88.45,1.7,30.54
B30182,Male,90.72,1.75,29.53
B30190,Male,131.54,1.9,36.25
B30200,Male,92.08,1.65,33.78
B30219,Male,122.47,1.75,39.87
B30220,Male,74.84,1.73,25.09
B30249,Male,88.45,1.78,27.98
B30254,Male,86.18,1.85,25.07
B30257,Male,138.35,1.93,37.13
B30259,Male,86.18,1.8,26.5
B30276,Male,72.57,1.68,25.82
B30282,Male,79.38,1.8,24.41
B30291,Male,74.84,1.8,23.01
B30318,Male,95.25,1.75,31.01
B30323,Male,83.91,1.8,25.8
B30324,Male,102.06,1.85,29.68
B30327,Male,81.65,1.83,24.41
B30336,Male,86.18,1.85,25.07
B30362,Male,73.94,1.78,23.39
B30383,Male,105.69,1.73,35.43
B30406,Male,76.2,1.83,22.78
B30436,Male,92.99,1.68,33.09
B30451,Male,81.65,1.78,25.83
B30468,Male,99.79,1.8,30.68
B30483,Male,66.68,1.75,21.71
B30503,Male,88.0,1.88,24.91
B30526,Male,90.72,1.8,27.89
B30527,Male,74.84,1.7,25.84
B30535,Male,86.18,1.7,29.76
B30554,Male,79.38,1.75,25.84
B30556,Male,69.4,1.63,26.26
B30557,Male,90.72,1.8,27.89
B30559,Male,122.47,1.88,34.67
B30571,Male,106.59,1.83,31.87
B30583,Male,113.4,1.8,34.87
B30602,Male,104.33,1.8,32.08
B30613,Male,151.5,1.78,47.92
B30637,Male,96.62,1.83,28.89
B30639,Male,75.3,1.78,23.82
B30644,Male,98.88,1.63,37.42
B30646,Male,74.84,1.8,23.01
B30651,Male,81.65,1.83,24.41
B30657,Male,102.06,1.83,30.52
B30667,Male,76.2,1.68,27.12
B30706,Male,117.93,1.85,34.3
B30713,Male,90.72,1.75,29.53
B30717,Male,92.08,1.88,26.06
B30739,Male,76.2,1.75,24.81
B30742,Male,91.63,1.88,25.93
B30753,Male,111.13,1.78,35.15
B30754,Male,81.65,1.83,24.41
B30758,Male,98.88,1.83,29.57
B30780,Male,81.65,1.75,26.58
B30795,Male,97.07,1.78,30.71
B30827,Male,71.21,1.78,22.53
B30834,Male,85.73,1.85,24.94
B30836,Male,88.45,1.7,30.54
B30862,Male,97.52,1.88,27.6
B30871,Male,83.91,1.7,28.97
B30872,Male,72.57,1.63,27.46
B30879,Male,106.14,1.88,30.04
B30913,Male,138.8,1.78,43.91
B30915,Male,133.81,1.8,41.14
B30923,Male,116.12,1.73,38.92
B30950,Male,113.4,1.83,33.91
B30953,Male,108.86,1.85,31.66
B30979,Male,77.11,1.78,24.39
B30985,Male,82.55,1.75,26.88
B30991,Male,145.15,1.93,38.95
B30992,Male,74.84,1.68,26.63
B31005,Male,102.06,1.83,30.52
B31008,Male,73.94,1.7,25.53
B31012,Male,101.6,1.9,28.0
B31036,Male,149.69,1.75,48.73
B31040,Male,83.91,1.63,31.75
B31044,Male,96.16,1.73,32.23
B31051,Male,108.86,1.83,32.55
B31058,Male,101.15,1.78,32.0
B31060,Male,95.25,1.83,28.48
B31080,Male,77.11,1.85,22.43
B31090,Male,76.2,1.7,26.31
B31094,Male,81.65,1.8,25.1
B31096,Male,63.5,1.63,24.03
B31103,Male,92.99,1.83,27.8
B31106,Male,81.65,1.73,27.37
B31126,Male,122.47,1.75,39.87
B31135,Male,108.86,1.83,32.55
B31140,Male,82.1,1.8,25.24
B31155,Male,79.38,1.63,30.04
B31176,Male,90.26,1.9,24.87
B31178,Male,90.72,1.83,27.12
B31181,Male,81.65,1.73,27.37
B31187,Male,97.98,1.83,29.29
B31208,Male,102.06,1.83,30.52
B31238,Male,78.02,1.85,22.69
B31252,Male,70.31,1.63,26.61
B31253,Male,87.09,1.73,29.19
B31256,Male,97.52,1.8,29.99
B31258,Male,89.81,1.78,28.41
B31260,Male,92.99,1.85,27.05
B31279,Male,72.12,1.73,24.18
B31290,Male,98.43,1.78,31.14
B31300,Male,99.79,1.78,31.57
B31311,Male,108.86,1.85,31.66
B31324,Male,125.19,1.8,38.49
B31327,Male,74.84,1.78,23.67
B31338,Male,95.25,1.83,28.48
B31357,Male,61.69,1.68,21.95
B31387,Male,90.26,1.7,31.17
B31389,Male,97.52,1.7,33.67
B31391,Male,120.2,1.83,35.94
B31401,Male,77.11,1.73,25.85
B31414,Male,79.38,1.8,24.41
B31416,Male,95.25,1.73,31.93
B31426,Male,102.97,1.8,31.66
B31454,Male,108.41,1.8,33.33
B31455,Male,79.38,1.88,22.47
B31485,Male,77.11,1.7,26.63
B31498,Male,90.72,1.88,25.68
B31500,Male,81.65,1.65,29.95
B31514,Male,95.25,1.83,28.48
B31518,Male,102.97,1.68,36.64
B31525,Male,99.79,1.73,33.45
B31527,Male,81.65,1.63,30.9
B31532,Male,93.44,1.78,29.56
B31558,Male,166.92,1.73,55.95
B31564,Male,95.25,1.73,31.93
B31580,Male,73.94,1.7,25.53
B31581,Male,70.76,1.73,23.72
B31585,Male,102.06,1.8,31.38
B31607,Male,81.65,1.7,28.19
B31612,Male,97.52,1.65,35.78
B31619,Male,96.16,1.68,34.22
B31623,Male,111.13,1.88,31.46
B31650,Male,94.8,1.83,28.35
B31652,Male,113.4,1.85,32.98
B31655,Male,119.75,1.78,37.88
B31679,Male,115.67,1.7,39.94
B31692,Male,83.01,1.78,26.26
B31743,Male,90.72,1.75,29.53
B31757,Male,86.18,1.8,26.5
B31762,Male,102.06,1.85,29.68
B31764,Male,90.72,1.75,29.53
B31778,Male,61.69,1.65,22.63
B31788,Male,106.59,1.78,33.72
B31789,Male,74.84,1.63,28.32
B31807,Male,91.63,1.8,28.17
B31809,Male,96.16,1.78,30.42
B31813,Male,111.13,1.85,32.32
B31828,Male,159.66,1.96,41.74
B31831,Male,96.16,1.85,27.97
B31842,Male,95.25,1.78,30.13
B31893,Male,97.07,1.7,33.52
B31919,Male,117.93,1.83,35.26
B31961,Male,127.01,1.75,41.35
B31968,Male,117.93,1.68,41.96
B31999,Male,101.15,1.8,31.1
B32003,Male,103.42,1.8,31.8
B32012,Male,142.88,1.9,39.37
B32025,Male,106.59,1.75,34.7
B32026,Male,82.55,1.68,29.38
B32032,Male,88.45,1.63,33.47
B32050,Male,89.81,1.8,27.62
B32055,Male,140.16,1.88,39.67
B32075,Male,89.81,1.75,29.24
B32088,Male,120.66,1.73,40.44
B32099,Male,69.4,1.7,23.96
B32126,Male,106.59,1.83,31.87
B32135,Male,95.25,1.73,31.93
B32141,Male,59.42,1.83,17.77
B32162,Male,68.95,1.75,22.45
B32177,Male,94.35,1.85,27.44
B32203,Male,95.25,1.75,31.01
B32229,Male,104.78,1.55,43.65
B32240,Male,107.5,1.7,37.12
B32278,Male,73.48,1.78,23.24
B32288,Male,68.04,1.65,24.96
B32311,Male,93.44,1.8,28.73
B32319,Male,107.95,1.8,33.19
B32321,Male,77.11,1.75,25.1
B32333,Male,90.72,1.7,31.32
B32334,Male,80.74,1.7,27.88
B32366,Male,113.4,1.85,32.98
B32375,Male,90.72,1.78,28.7
B32379,Male,98.88,1.83,29.57
B32418,Male,89.81,1.73,30.11
B32495,Male,81.65,1.78,25.83
B32519,Male,75.3,1.7,26.0
B32552,Male,81.65,1.8,25.1
B32580,Male,85.73,1.78,27.12
B32583,Male,95.25,1.83,28.48
B32607,Male,108.86,1.78,34.44
B32619,Male,74.84,1.7,25.84
B32624,Male,72.57,1.73,24.33
B32644,Male,66.68,1.68,23.73
B32645,Male,68.04,1.63,25.75
B32653,Male,77.11,1.8,23.71
B32666,Male,79.38,1.83,23.73
B32671,Male,147.42,1.85,42.88
B32676,Male,73.94,1.63,27.98
B32689,Male,109.77,1.85,31.93
B32700,Male,140.61,1.96,36.76
B32709,Male,99.79,1.85,29.03
B32710,Male,88.45,1.78,27.98
B32713,Male,99.79,1.9,27.5
B32715,Male,85.73,1.75,27.91
B32725,Male,78.93,1.75,25.7
B32727,Male,70.31,1.68,25.02
B32750,Male,90.72,1.85,26.39
B32766,Male,68.95,1.8,21.2
B32769,Male,73.94,1.68,26.31
B32772,Male,133.81,1.85,38.92
B32775,Male,88.45,1.7,30.54
B32776,Male,95.25,1.8,29.29
B32783,Male,92.99,1.83,27.8
B32786,Male,86.18,1.7,29.76
B32790,Male,79.38,1.85,23.09
B32804,Male,102.97,1.75,33.52
B32816,Male,142.88,1.8,43.93
B32820,Male,83.91,1.68,29.86
B32826,Male,113.4,1.85,32.98
B32834,Male,86.18,1.9,23.75
B32855,Male,90.72,1.85,26.39
B32877,Male,108.86,1.88,30.81
B32883,Male,106.59,1.8,32.78
B32901,Male,139.71,1.73,46.83
B32902,Male,84.82,1.83,25.36
B32905,Male,83.91,1.85,24.41
B32909,Male,61.23,1.75,19.94
B32917,Male,83.91,1.73,28.13
B32925,Male,83.91,1.88,23.75
B32939,Male,63.5,1.63,24.03
B32942,Male,109.77,1.83,32.82
B32968,Male,97.52,1.7,33.67
B32983,Male,77.11,1.75,25.1
B32985,Male,138.35,1.9,38.12
B32994,Male,72.57,1.75,23.63
B33022,Male,108.86,1.88,30.81
B33023,Male,72.57,1.7,25.06
B33026,Male,64.41,1.75,20.97
B33028,Male,83.01,1.83,24.82
B33034,Male,108.86,1.78,34.44
B33036,Male,134.72,1.75,43.86
B33050,Male,77.11,1.68,27.44
B33062,Male,79.38,1.7,27.41
B33070,Male,77.11,1.63,29.18
B33081,Male,127.01,1.9,35.0
B33082,Male,77.11,1.85,22.43
B33084,Male,97.52,1.85,28.37
B33089,Male,108.86,1.85,31.66
B33093,Male,72.57,1.83,21.7
B33097,Male,90.72,1.73,30.41
B33107,Male,127.01,1.85,36.94
B33129,Male,78.02,1.63,29.52
B33146,Male,72.57,1.78,22.96
B33148,Male,90.72,1.8,27.89
B33150,Male,74.39,1.88,21.06
B33165,Male,95.25,1.88,26.96
B33173,Male,89.81,1.85,26.12
B33181,Male,114.31,1.73,38.32
B33233,Male,117.93,1.83,35.26
B33245,Male,83.91,1.8,25.8
B33255,Male,81.65,1.85,23.75
B33257,Male,120.2,1.83,35.94
B33269,Male,113.4,1.8,34.87
B33270,Male,86.18,1.68,30.67
B33278,Male,83.91,1.75,27.32
B33284,Male,108.86,1.88,30.81
B33285,Male,85.28,1.68,30.34
B33292,Male,92.53,1.85,26.91
B33295,Male,77.11,1.75,25.1
B33299,Male,161.03,1.96,42.1
B33329,Male,117.93,1.93,31.65
B33347,Male,99.79,1.85,29.03
B33364,Male,107.05,1.9,29.5
B33367,Male,79.83,1.83,23.87
B33370,Male,104.33,1.73,34.97
B33371,Male,79.38,1.73,26.61
B33401,Male,85.73,1.75,27.91
B33403,Male,79.38,1.78,25.11
B33410,Male,83.91,1.88,23.75
B33411,Male,104.33,1.7,36.02
B33418,Male,74.84,1.68,26.63
B33419,Male,99.79,1.78,31.57
B33438,Male,95.71,1.8,29.43
B33471,Male,105.23,1.75,34.26
B33483,Male,90.72,1.8,27.89
B33485,Male,120.66,1.85,35.09
B33493,Male,77.11,1.68,27.44
B33508,Male,,,
B33541,Male,79.83,1.96,20.87
B33545,Male,99.79,1.8,30.68
B33548,Male,88.9,1.85,25.86
B33552,Male,70.76,1.78,22.38
B33566,Male,91.63,1.73,30.71
B33569,Male,85.28,1.68,30.34
B33583,Male,81.65,1.65,29.95
B33597,Male,104.33,1.68,37.12
B33599,Male,83.91,1.73,28.13
B33607,Male,73.03,1.78,23.1
B33620,Male,79.38,1.78,25.11
B33634,Male,90.72,1.8,27.89
B33646,Male,76.2,1.78,24.11
B33702,Male,83.91,1.73,28.13
B33719,Male,117.48,1.88,33.25
B33724,Male,108.86,1.7,37.59
B33747,Male,99.79,1.8,30.68
B33759,Male,80.29,1.78,25.4
B33761,Male,86.18,1.7,29.76
B33774,Male,91.63,1.83,27.4
B33793,Male,85.73,1.7,29.6
B33795,Male,68.04,1.7,23.49
B33802,Male,97.98,1.78,30.99
B33817,Male,86.18,1.85,25.07
B33820,Male,72.57,1.68,25.82
B33821,Male,69.85,1.68,24.86
B33842,Male,83.01,1.98,21.15
B33868,Male,63.5,1.8,19.53
B33914,Male,81.65,1.73,27.37
